Year,State,Sex,Name,Number
1992,IL,girl,Jessica,1791
1992,IL,boy,Michael,2861
1993,IL,girl,Jessica,1763
1993,IL,boy,Michael,2694
1994,IL,girl,Jessica,1601
1994,IL,boy,Michael,2374
1995,IL,girl,Jessica,1425
1995,IL,boy,Michael,2220
1996,IL,girl,Jessica,1240
1996,IL,boy,Michael,2131
1997,IL,girl,Emily,1181
1997,IL,boy,Michael,2010
1998,IL,girl,Emily,1178
1998,IL,boy,Michael,1933
1999,IL,girl,Emily,1198
1999,IL,boy,Michael,1765
2000,IL,girl,Emily,1172
2000,IL,boy,Jacob,1593
2001,IL,girl,Emily,1170
2001,IL,boy,Michael,1447
2002,IL,girl,Emily,1081
2002,IL,boy,Michael,1428
2003,IL,girl,Emily,1102
2003,IL,boy,Michael,1339
2004,IL,girl,Emily,1083
2004,IL,boy,Michael,1266
2005,IL,girl,Emily,1003
2005,IL,boy,Jacob,1114
2006,IL,boy,Daniel,1020
2006,IL,girl,Emily,906
2007,IL,boy,Daniel,1029
2007,IL,girl,Isabella,867
2008,IL,boy,Alexander,921
2008,IL,girl,Olivia,770
1960,IN,boy,David,2552
1960,IN,girl,Mary,1259
1961,IN,boy,David,2437
1961,IN,girl,Lisa,1468
1962,IN,boy,David,2270
1962,IN,girl,Lisa,1481
1963,IN,boy,David,2235
1963,IN,girl,Lisa,1714
1964,IN,boy,David,2244
1964,IN,girl,Lisa,1628
1965,IN,girl,Lisa,1741
1965,IN,boy,Michael,2027
1966,IN,girl,Lisa,1616
1966,IN,boy,Michael,2033
1967,IN,girl,Lisa,1499
1967,IN,boy,Michael,2283
1968,IN,girl,Lisa,1397
1968,IN,boy,Michael,2197
1969,IN,girl,Lisa,1155
1969,IN,boy,Michael,2369
1970,IN,girl,Jennifer,1359
1970,IN,boy,Michael,2320
1971,IN,girl,Jennifer,1783
1971,IN,boy,Michael,2195
1972,IN,girl,Jennifer,1992
1972,IN,boy,Michael,1943
1973,IN,girl,Jennifer,2015
1973,IN,boy,Michael,1900
1974,IN,boy,Jason,1924
1974,IN,girl,Jennifer,1903
1975,IN,boy,Jason,1887
1975,IN,girl,Jennifer,1700
1976,IN,boy,Jason,1779
1976,IN,girl,Jennifer,1626
1977,IN,boy,Jason,1842
1977,IN,girl,Jennifer,1639
1978,IN,boy,Jason,1604
1978,IN,girl,Jennifer,1511
1979,IN,girl,Jennifer,1570
1979,IN,boy,Michael,1588
1980,IN,girl,Jennifer,1516
1980,IN,boy,Michael,1641
1981,IN,girl,Jennifer,1418
1981,IN,boy,Michael,1548
1982,IN,girl,Jennifer,1423
1982,IN,boy,Michael,1440
1983,IN,girl,Ashley,1222
1983,IN,boy,Michael,1372
1984,IN,girl,Ashley,1301
1984,IN,boy,Matthew,1391
1985,IN,girl,Ashley,1577
1985,IN,boy,Joshua,1320
1986,IN,girl,Ashley,1457
1986,IN,boy,Michael,1291
1987,IN,girl,Ashley,1557
1987,IN,boy,Michael,1168
1988,IN,girl,Ashley,1364
1988,IN,boy,Michael,1217
1989,IN,girl,Ashley,1183
1989,IN,boy,Joshua,1202
1990,IN,girl,Jessica,1135
1990,IN,boy,Michael,1233
1991,IN,girl,Ashley,1092
1991,IN,boy,Michael,1178
1992,IN,girl,Ashley,890
1992,IN,boy,Michael,1053
1993,IN,girl,Ashley,836
1993,IN,boy,Jacob,1015
1994,IN,girl,Ashley,682
1994,IN,boy,Jacob,970
1995,IN,girl,Emily,640
1995,IN,boy,Jacob,1071
1996,IN,girl,Emily,645
1996,IN,boy,Jacob,1075
1997,IN,girl,Emily,681
1997,IN,boy,Jacob,1131
1998,IN,girl,Emily,672
1998,IN,boy,Jacob,1120
1999,IN,girl,Hannah,704
1999,IN,boy,Jacob,1133
2000,IN,girl,Hannah,633
2000,IN,boy,Jacob,1057
2001,IN,boy,Jacob,939
2001,IN,girl,Madison,639
2002,IN,boy,Jacob,779
2002,IN,girl,Madison,641
2003,IN,girl,Emma,668
2003,IN,boy,Jacob,772
2004,IN,girl,Emma,671
2004,IN,boy,Jacob,686
2005,IN,girl,Emma,576
2005,IN,boy,Jacob,670
2006,IN,girl,Emma,570
2006,IN,boy,Jacob,574
2007,IN,girl,Emma,524
2007,IN,boy,Jacob,567
2008,IN,girl,Emma,510
2008,IN,boy,Jacob,534
1960,KS,boy,David,1004
1960,KS,girl,Mary,514
1961,KS,boy,David,1023
1961,KS,girl,Lisa,450
1962,KS,boy,David,928
1962,KS,girl,Lisa,477
1963,KS,boy,David,831
1963,KS,girl,Lisa,551
1964,KS,boy,David,805
1964,KS,girl,Lisa,447
1965,KS,girl,Lisa,528
1965,KS,boy,Michael,743
1966,KS,girl,Lisa,509
1966,KS,boy,Michael,720
1967,KS,girl,Lisa,486
1967,KS,boy,Michael,704
1968,KS,boy,Michael,791
1968,KS,girl,Michelle,435
1969,KS,boy,Michael,851
1969,KS,girl,Michelle,423
1970,KS,girl,Jennifer,481
1970,KS,boy,Michael,802
1971,KS,girl,Jennifer,511
1971,KS,boy,Michael,733
1972,KS,girl,Jennifer,719
1972,KS,boy,Michael,610
1973,KS,boy,Jason,673
1973,KS,girl,Jennifer,634
1974,KS,boy,Jason,801
1974,KS,girl,Jennifer,690
1975,KS,boy,Jason,798
1975,KS,girl,Jennifer,649
1976,KS,boy,Jason,705
1976,KS,girl,Jennifer,689
1977,KS,boy,Jason,662
1977,KS,girl,Jennifer,685
1978,KS,boy,Jason,617
1978,KS,girl,Jennifer,671
1979,KS,girl,Jennifer,694
1979,KS,boy,Michael,604
1980,KS,girl,Jennifer,655
1980,KS,boy,Michael,687
1981,KS,girl,Jennifer,638
1981,KS,boy,Michael,618
1982,KS,boy,Christopher,639
1982,KS,girl,Jennifer,611
1983,KS,boy,Christopher,666
1983,KS,girl,Jennifer,541
1984,KS,girl,Ashley,553
1984,KS,boy,Christopher,633
1985,KS,girl,Ashley,607
1985,KS,boy,Christopher,564
1986,KS,girl,Jessica,574
1986,KS,boy,Michael,528
1987,KS,girl,Ashley,608
1987,KS,boy,Christopher,501
1988,KS,girl,Jessica,545
1988,KS,boy,Joshua,547
1989,KS,girl,Jessica,484
1989,KS,boy,Joshua,512
1990,KS,girl,Ashley,450
1990,KS,girl,Jessica,450
1990,KS,boy,Michael,486
1991,KS,girl,Jessica,412
1991,KS,boy,Michael,489
1992,KS,girl,Ashley,367
1992,KS,boy,Tyler,384
1993,KS,girl,Ashley,333
1993,KS,boy,Jacob,395
1994,KS,boy,Austin,390
1994,KS,girl,Jessica,300
1995,KS,girl,Ashley,252
1995,KS,boy,Jacob,403
1996,KS,boy,Jacob,352
1996,KS,girl,Madison,232
1997,KS,girl,Emily,255
1997,KS,boy,Jacob,407
1998,KS,boy,Jacob,432
1998,KS,girl,Madison,282
1999,KS,boy,Jacob,451
1999,KS,girl,Madison,252
2000,KS,boy,Jacob,405
2000,KS,girl,Madison,277
2001,KS,boy,Jacob,343
2001,KS,girl,Madison,258
2002,KS,girl,Emily,243
2002,KS,boy,Jacob,317
2003,KS,girl,Emma,280
2003,KS,boy,Jacob,275
2004,KS,girl,Emma,262
2004,KS,boy,Jacob,290
2005,KS,girl,Emma,267
2005,KS,boy,Jacob,265
2006,KS,girl,Emma,232
2006,KS,boy,Jacob,221
2007,KS,girl,Addison,238
2007,KS,boy,Ethan,249
2008,KS,girl,Emma,199
2008,KS,boy,Ethan,243
1960,KY,boy,James,1739
1960,KY,girl,Mary,998
1961,KY,boy,James,1623
1961,KY,girl,Mary,964
1962,KY,boy,James,1730
1962,KY,girl,Mary,945
1963,KY,boy,James,1623
1963,KY,girl,Lisa,1080
1964,KY,boy,James,1636
1964,KY,girl,Lisa,1116
1965,KY,boy,James,1586
1965,KY,girl,Lisa,1185
1966,KY,boy,James,1453
1966,KY,girl,Lisa,1079
1967,KY,boy,James,1409
1967,KY,girl,Lisa,952
1968,KY,boy,James,1348
1968,KY,girl,Lisa,926
1969,KY,boy,James,1510
1969,KY,girl,Lisa,781
1970,KY,boy,James,1569
1970,KY,girl,Melissa,765
1971,KY,boy,James,1479
1971,KY,girl,Jennifer,903
1972,KY,boy,James,1268
1972,KY,girl,Jennifer,962
1973,KY,girl,Jennifer,1019
1973,KY,boy,Michael,1178
1974,KY,girl,Jennifer,1103
1974,KY,boy,Michael,1195
1975,KY,girl,Jennifer,1006
1975,KY,boy,Michael,1207
1976,KY,girl,Jennifer,1051
1976,KY,boy,Michael,1239
1977,KY,boy,Jason,1277
1977,KY,girl,Jennifer,1090
1978,KY,girl,Jennifer,1019
1978,KY,boy,Michael,1184
1979,KY,girl,Amanda,1033
1979,KY,boy,Jason,1163
1980,KY,girl,Amanda,1275
1980,KY,boy,Jason,1167
1981,KY,girl,Amanda,1058
1981,KY,boy,Joshua,1064
1982,KY,girl,Amanda,1001
1982,KY,boy,Christopher,1145
1983,KY,girl,Amanda,932
1983,KY,boy,Christopher,1106
1984,KY,girl,Ashley,935
1984,KY,boy,Christopher,1058
1985,KY,girl,Ashley,1004
1985,KY,boy,Joshua,1034
1986,KY,girl,Ashley,1024
1986,KY,boy,Christopher,958
1987,KY,girl,Ashley,1038
1987,KY,boy,Joshua,947
1988,KY,girl,Ashley,914
1988,KY,boy,Joshua,918
1989,KY,girl,Brittany,844
1989,KY,boy,Joshua,948
1990,KY,girl,Brittany,843
1990,KY,boy,Joshua,890
1991,KY,girl,Ashley,755
1991,KY,boy,Joshua,799
1992,KY,girl,Ashley,676
1992,KY,boy,Joshua,675
1993,KY,girl,Ashley,596
1993,KY,boy,James,637
1994,KY,girl,Ashley,504
1994,KY,boy,Austin,638
1995,KY,girl,Ashley,435
1995,KY,boy,Austin,732
1996,KY,boy,Austin,727
1996,KY,girl,Hannah,437
1997,KY,boy,Austin,729
1997,KY,girl,Hannah,502
1998,KY,girl,Hannah,513
1998,KY,boy,Jacob,846
1999,KY,girl,Hannah,509
1999,KY,boy,Jacob,732
2000,KY,girl,Hannah,562
2000,KY,boy,Jacob,806
2001,KY,boy,Jacob,711
2001,KY,girl,Madison,516
2002,KY,boy,Jacob,627
2002,KY,girl,Madison,550
2003,KY,girl,Emily,472
2003,KY,boy,Jacob,620
2004,KY,boy,Jacob,482
2004,KY,girl,Madison,380
2005,KY,boy,Jacob,552
2005,KY,girl,Madison,452
2006,KY,boy,Jacob,496
2006,KY,girl,Madison,417
2007,KY,boy,Jacob,479
2007,KY,girl,Madison,407
2008,KY,girl,Madison,357
2008,KY,boy,William,424
1960,LA,girl,Mary,1087
1960,LA,boy,Michael,1556
1961,LA,girl,Mary,1013
1961,LA,boy,Michael,1581
1962,LA,girl,Mary,963
1962,LA,boy,Michael,1492
1963,LA,girl,Lisa,946
1963,LA,boy,Michael,1438
1964,LA,boy,John,1465
1964,LA,girl,Lisa,967
1965,LA,girl,Lisa,1245
1965,LA,boy,Michael,1267
1966,LA,girl,Lisa,1064
1966,LA,boy,Michael,1238
1967,LA,girl,Lisa,936
1967,LA,boy,Michael,1338
1968,LA,girl,Lisa,812
1968,LA,boy,Michael,1303
1969,LA,girl,Lisa,714
1969,LA,boy,Michael,1311
1970,LA,girl,Angela,602
1970,LA,boy,Michael,1264
1971,LA,girl,Jennifer,664
1971,LA,boy,Michael,1181
1972,LA,girl,Jennifer,753
1972,LA,boy,Michael,1158
1973,LA,girl,Jennifer,769
1973,LA,boy,Michael,1036
1974,LA,girl,Jennifer,805
1974,LA,boy,Michael,1046
1975,LA,girl,Jennifer,824
1975,LA,boy,Michael,1087
1976,LA,girl,Jennifer,874
1976,LA,boy,Michael,1092
1977,LA,girl,Jennifer,873
1977,LA,boy,Michael,1126
1978,LA,girl,Jennifer,854
1978,LA,boy,Michael,1141
1979,LA,girl,Jennifer,878
1979,LA,boy,Michael,1164
1980,LA,girl,Jennifer,1003
1980,LA,boy,Michael,1209
1981,LA,girl,Jennifer,937
1981,LA,boy,Michael,1137
1982,LA,boy,Christopher,1320
1982,LA,girl,Jennifer,980
1983,LA,girl,Ashley,1413
1983,LA,boy,Christopher,1299
1984,LA,girl,Ashley,1341
1984,LA,boy,Christopher,1321
1985,LA,girl,Ashley,1430
1985,LA,boy,Christopher,1230
1986,LA,girl,Ashley,1281
1986,LA,boy,Christopher,1201
1987,LA,girl,Ashley,1136
1987,LA,boy,Christopher,1066
1988,LA,girl,Ashley,928
1988,LA,boy,Christopher,973
1989,LA,girl,Brittany,1153
1989,LA,boy,Christopher,1025
1990,LA,girl,Brittany,975
1990,LA,boy,Joshua,944
1991,LA,girl,Ashley,763
1991,LA,boy,Christopher,892
1992,LA,girl,Ashley,600
1992,LA,boy,Christopher,746
1993,LA,girl,Ashley,556
1993,LA,boy,Christopher,670
1994,LA,boy,Christopher,598
1994,LA,girl,Taylor,434
1995,LA,boy,Joshua,593
1995,LA,girl,Taylor,466
1996,LA,girl,Alexis,396
1996,LA,boy,Christopher,523
1997,LA,girl,Alexis,481
1997,LA,boy,Joshua,538
1998,LA,girl,Alexis,438
1998,LA,boy,Jacob,494
1999,LA,girl,Alexis,406
1999,LA,boy,Joshua,461
2000,LA,boy,Joshua,471
2000,LA,girl,Madison,465
2001,LA,boy,Jacob,426
2001,LA,girl,Madison,482
2002,LA,boy,Joshua,410
2002,LA,girl,Madison,520
2003,LA,boy,Jacob,422
2003,LA,girl,Madison,454
2004,LA,boy,Ethan,376
2004,LA,girl,Madison,430
2005,LA,boy,Joshua,323
2005,LA,girl,Madison,417
2006,LA,boy,Ethan,321
2006,LA,girl,Madison,400
2007,LA,boy,Joshua,298
2007,LA,girl,Madison,350
2008,LA,boy,Ethan,296
2008,LA,girl,Madison,326
1960,MA,boy,John,3475
1960,MA,girl,Susan,1846
1961,MA,boy,John,3605
1961,MA,girl,Susan,1742
1962,MA,boy,John,3459
1962,MA,girl,Lisa,1716
1963,MA,boy,John,3394
1963,MA,girl,Lisa,2085
1964,MA,boy,John,3544
1964,MA,girl,Lisa,2120
1965,MA,girl,Lisa,2150
1965,MA,boy,Michael,3180
1966,MA,girl,Lisa,2136
1966,MA,boy,Michael,2941
1967,MA,girl,Lisa,2044
1967,MA,boy,Michael,3068
1968,MA,girl,Lisa,1753
1968,MA,boy,Michael,2900
1969,MA,girl,Lisa,1547
1969,MA,boy,Michael,2926
1970,MA,girl,Jennifer,1644
1970,MA,boy,Michael,2796
1971,MA,girl,Jennifer,2015
1971,MA,boy,Michael,2532
1972,MA,girl,Jennifer,2076
1972,MA,boy,Michael,2216
1973,MA,girl,Jennifer,1927
1973,MA,boy,Michael,2180
1974,MA,girl,Jennifer,1842
1974,MA,boy,Michael,2061
1975,MA,girl,Jennifer,1676
1975,MA,boy,Michael,2184
1976,MA,girl,Jennifer,1550
1976,MA,boy,Michael,2035
1977,MA,girl,Jennifer,1532
1977,MA,boy,Michael,1992
1978,MA,girl,Jennifer,1494
1978,MA,boy,Michael,2134
1979,MA,girl,Jennifer,1511
1979,MA,boy,Michael,2114
1980,MA,girl,Jennifer,1480
1980,MA,boy,Michael,2015
1981,MA,girl,Jennifer,1432
1981,MA,boy,Michael,2161
1982,MA,girl,Jennifer,1432
1982,MA,boy,Michael,2215
1983,MA,girl,Jennifer,1406
1983,MA,boy,Michael,2166
1984,MA,girl,Jennifer,1317
1984,MA,boy,Michael,2278
1985,MA,girl,Jennifer,1122
1985,MA,boy,Michael,2119
1986,MA,girl,Jessica,1198
1986,MA,boy,Michael,2196
1987,MA,girl,Jessica,1278
1987,MA,boy,Michael,2256
1988,MA,girl,Jessica,1109
1988,MA,boy,Michael,2051
1989,MA,girl,Ashley,1080
1989,MA,boy,Michael,2257
1990,MA,girl,Jessica,1049
1990,MA,boy,Michael,2143
1991,MA,girl,Ashley,902
1991,MA,boy,Michael,1958
1992,MA,girl,Jessica,868
1992,MA,boy,Michael,1801
1993,MA,boy,Michael,1589
1993,MA,girl,Sarah,756
1994,MA,girl,Emily,740
1994,MA,boy,Michael,1425
1995,MA,girl,Emily,799
1995,MA,boy,Michael,1356
1996,MA,girl,Emily,784
1996,MA,boy,Michael,1217
1997,MA,girl,Emily,767
1997,MA,boy,Matthew,1169
1998,MA,girl,Emily,802
1998,MA,boy,Michael,1174
1999,MA,girl,Emily,746
1999,MA,boy,Matthew,1007
2000,MA,girl,Emily,753
2000,MA,boy,Matthew,1038
2001,MA,girl,Emily,707
2001,MA,boy,Matthew,916
2002,MA,girl,Emily,677
2002,MA,boy,Matthew,889
2003,MA,girl,Emily,654
2003,MA,boy,Matthew,780
2004,MA,girl,Emily,578
2004,MA,boy,Michael,751
2005,MA,girl,Emma,529
2005,MA,boy,Matthew,695
2006,MA,girl,Ava,557
2006,MA,boy,Matthew,590
2007,MA,girl,Ava,532
2007,MA,boy,Matthew,563
2008,MA,girl,Ava,470
2008,MA,boy,Ryan,540
1960,MD,girl,Mary,921
1960,MD,boy,Michael,1593
1961,MD,girl,Mary,847
1961,MD,boy,Michael,1585
1962,MD,boy,John,1545
1962,MD,girl,Mary,814
1963,MD,girl,Lisa,912
1963,MD,boy,Michael,1647
1964,MD,boy,John,1670
1964,MD,girl,Lisa,980
1965,MD,girl,Lisa,1174
1965,MD,boy,Michael,1565
1966,MD,girl,Lisa,1103
1966,MD,boy,Michael,1525
1967,MD,girl,Lisa,999
1967,MD,boy,Michael,1555
1968,MD,girl,Lisa,948
1968,MD,boy,Michael,1467
1969,MD,girl,Lisa,863
1969,MD,boy,Michael,1581
1970,MD,girl,Kimberly,743
1970,MD,boy,Michael,1493
1971,MD,girl,Jennifer,918
1971,MD,boy,Michael,1328
1972,MD,girl,Jennifer,1043
1972,MD,boy,Michael,1229
1973,MD,girl,Jennifer,1077
1973,MD,boy,Michael,1157
1974,MD,girl,Jennifer,1007
1974,MD,boy,Michael,1064
1975,MD,girl,Jennifer,903
1975,MD,boy,Michael,1172
1976,MD,girl,Jennifer,893
1976,MD,boy,Michael,1064
1977,MD,girl,Jennifer,902
1977,MD,boy,Michael,1045
1978,MD,girl,Jennifer,907
1978,MD,boy,Michael,1111
1979,MD,girl,Jennifer,932
1979,MD,boy,Michael,1138
1980,MD,girl,Jennifer,903
1980,MD,boy,Michael,1157
1981,MD,girl,Jennifer,890
1981,MD,boy,Michael,1202
1982,MD,girl,Jennifer,971
1982,MD,boy,Michael,1230
1983,MD,girl,Jennifer,857
1983,MD,boy,Michael,1267
1984,MD,girl,Jennifer,859
1984,MD,boy,Michael,1246
1985,MD,girl,Ashley,878
1985,MD,boy,Michael,1213
1986,MD,girl,Ashley,982
1986,MD,boy,Michael,1220
1987,MD,girl,Ashley,1055
1987,MD,boy,Michael,1246
1988,MD,girl,Ashley,1002
1988,MD,boy,Michael,1330
1989,MD,girl,Ashley,963
1989,MD,boy,Michael,1340
1990,MD,girl,Brittany,903
1990,MD,boy,Michael,1338
1991,MD,girl,Ashley,794
1991,MD,boy,Michael,1256
1992,MD,girl,Ashley,707
1992,MD,boy,Michael,1139
1993,MD,girl,Ashley,580
1993,MD,boy,Michael,962
1994,MD,girl,Ashley,487
1994,MD,boy,Michael,948
1995,MD,girl,Emily,475
1995,MD,boy,Michael,845
1996,MD,girl,Emily,487
1996,MD,boy,Michael,770
1997,MD,girl,Emily,458
1997,MD,boy,Michael,761
1998,MD,girl,Emily,477
1998,MD,boy,Michael,712
1999,MD,girl,Emily,476
1999,MD,boy,Michael,687
2000,MD,girl,Emily,458
2000,MD,boy,Michael,618
2001,MD,girl,Emily,450
2001,MD,boy,Michael,600
2002,MD,girl,Madison,422
2002,MD,boy,Michael,552
2003,MD,girl,Emily,428
2003,MD,boy,Joshua,536
2004,MD,girl,Madison,431
2004,MD,boy,Michael,508
2005,MD,girl,Emily,401
2005,MD,boy,Joshua,461
2006,MD,boy,Joshua,465
2006,MD,girl,Madison,374
2007,MD,girl,Madison,376
2007,MD,boy,Michael,464
2008,MD,boy,Jacob,390
2008,MD,girl,Madison,379
2008,MD,boy,Michael,390
1960,ME,boy,David,586
1960,ME,girl,Susan,280
1961,ME,boy,David,555
1961,ME,girl,Lisa,288
1961,ME,girl,Susan,288
1962,ME,boy,David,545
1962,ME,girl,Lisa,307
1963,ME,boy,David,526
1963,ME,girl,Lisa,407
1964,ME,girl,Lisa,384
1964,ME,boy,Michael,462
1965,ME,girl,Lisa,501
1965,ME,boy,Michael,462
1966,ME,girl,Lisa,452
1966,ME,boy,Michael,417
1967,ME,girl,Lisa,383
1967,ME,boy,Michael,450
1968,ME,girl,Lisa,340
1968,ME,boy,Michael,421
1969,ME,girl,Lisa,295
1969,ME,boy,Michael,460
1970,ME,girl,Jennifer,253
1970,ME,boy,Michael,429
1971,ME,girl,Jennifer,365
1971,ME,boy,Michael,400
1972,ME,boy,Christopher,350
1972,ME,girl,Jennifer,390
1973,ME,boy,Jason,308
1973,ME,girl,Jennifer,372
1974,ME,boy,Jason,332
1974,ME,girl,Jennifer,376
1975,ME,boy,Jason,361
1975,ME,girl,Jennifer,360
1976,ME,boy,Jason,318
1976,ME,girl,Jennifer,322
1977,ME,boy,Jason,380
1977,ME,girl,Jennifer,320
1978,ME,boy,Jason,312
1978,ME,girl,Jennifer,302
1979,ME,boy,Jason,299
1979,ME,girl,Jennifer,285
1980,ME,boy,Christopher,276
1980,ME,girl,Jessica,282
1981,ME,girl,Jessica,360
1981,ME,boy,Matthew,305
1982,ME,girl,Jessica,331
1982,ME,boy,Matthew,331
1983,ME,girl,Jessica,283
1983,ME,boy,Matthew,312
1984,ME,boy,Christopher,334
1984,ME,girl,Jessica,289
1985,ME,boy,Christopher,296
1985,ME,girl,Jessica,265
1986,ME,girl,Ashley,269
1986,ME,boy,Matthew,282
1987,ME,girl,Ashley,323
1987,ME,boy,Joshua,282
1988,ME,girl,Ashley,259
1988,ME,boy,Joshua,285
1989,ME,girl,Ashley,223
1989,ME,boy,Joshua,296
1990,ME,girl,Ashley,232
1990,ME,boy,Joshua,292
1991,ME,girl,Ashley,210
1991,ME,boy,Joshua,261
1992,ME,girl,Ashley,169
1992,ME,boy,Nicholas,197
1993,ME,girl,Emily,149
1993,ME,boy,Tyler,210
1994,ME,girl,Emily,141
1994,ME,boy,Tyler,208
1995,ME,girl,Emily,131
1995,ME,boy,Tyler,185
1996,ME,girl,Emily,144
1996,ME,boy,Tyler,175
1997,ME,girl,Emily,144
1997,ME,boy,Jacob,177
1998,ME,girl,Emily,138
1998,ME,boy,Jacob,211
1999,ME,girl,Emily,152
1999,ME,boy,Jacob,187
2000,ME,girl,Emily,123
2000,ME,boy,Jacob,166
2001,ME,girl,Emily,148
2001,ME,boy,Jacob,201
2002,ME,girl,Emily,142
2002,ME,boy,Jacob,153
2003,ME,girl,Emma,146
2003,ME,boy,Jacob,137
2004,ME,girl,Emma,145
2004,ME,boy,Jacob,111
2005,ME,girl,Emma,134
2005,ME,boy,Jacob,124
2006,ME,girl,Emma,111
2006,ME,boy,Jacob,126
2007,ME,boy,Ethan,109
2007,ME,girl,Madison,111
2008,ME,girl,Emma,104
2008,ME,boy,Jacob,110
1960,MI,boy,David,4287
1960,MI,girl,Mary,2517
1961,MI,boy,David,4210
1961,MI,girl,Mary,2344
1962,MI,boy,David,4035
1962,MI,girl,Mary,2105
1963,MI,girl,Lisa,2417
1963,MI,boy,Michael,3872
1964,MI,girl,Lisa,2306
1964,MI,boy,Michael,3798
1965,MI,girl,Lisa,2829
1965,MI,boy,Michael,3854
1966,MI,girl,Lisa,2684
1966,MI,boy,Michael,3874
1967,MI,girl,Lisa,2610
1967,MI,boy,Michael,4076
1968,MI,girl,Lisa,2424
1968,MI,boy,Michael,4081
1969,MI,girl,Lisa,2241
1969,MI,boy,Michael,4175
1970,MI,girl,Jennifer,2437
1970,MI,boy,Michael,4041
1971,MI,girl,Jennifer,2958
1971,MI,boy,Michael,3601
1972,MI,girl,Jennifer,3273
1972,MI,boy,Michael,3249
1973,MI,girl,Jennifer,3240
1973,MI,boy,Michael,3111
1974,MI,girl,Jennifer,3013
1974,MI,boy,Michael,3001
1975,MI,girl,Jennifer,2685
1975,MI,boy,Michael,2978
1976,MI,girl,Jennifer,2795
1976,MI,boy,Michael,2913
1977,MI,girl,Jennifer,2759
1977,MI,boy,Michael,3030
1978,MI,girl,Jennifer,2665
1978,MI,boy,Michael,3086
1979,MI,girl,Jennifer,2573
1979,MI,boy,Michael,3010
1980,MI,girl,Jennifer,2627
1980,MI,boy,Michael,3024
1981,MI,girl,Jennifer,2389
1981,MI,boy,Michael,2919
1982,MI,girl,Jennifer,2264
1982,MI,boy,Michael,2806
1983,MI,girl,Jennifer,2241
1983,MI,boy,Michael,2756
1984,MI,girl,Jennifer,1982
1984,MI,boy,Michael,2730
1985,MI,girl,Jessica,1951
1985,MI,boy,Michael,2618
1986,MI,girl,Jessica,2033
1986,MI,boy,Michael,2550
1987,MI,girl,Ashley,2312
1987,MI,boy,Michael,2512
1988,MI,girl,Ashley,2106
1988,MI,boy,Michael,2490
1989,MI,girl,Ashley,2143
1989,MI,boy,Michael,2593
1990,MI,girl,Ashley,2059
1990,MI,boy,Michael,2589
1991,MI,girl,Ashley,1873
1991,MI,boy,Michael,2351
1992,MI,girl,Ashley,1561
1992,MI,boy,Michael,2065
1993,MI,girl,Ashley,1370
1993,MI,boy,Michael,1779
1994,MI,girl,Ashley,1198
1994,MI,boy,Jacob,1687
1995,MI,girl,Emily,1028
1995,MI,boy,Jacob,1643
1996,MI,girl,Emily,1078
1996,MI,boy,Jacob,1683
1997,MI,girl,Emily,1073
1997,MI,boy,Jacob,1749
1998,MI,girl,Emily,1093
1998,MI,boy,Jacob,1761
1999,MI,girl,Emily,1080
1999,MI,boy,Jacob,1738
2000,MI,girl,Emily,941
2000,MI,boy,Jacob,1568
2001,MI,boy,Jacob,1381
2001,MI,girl,Madison,930
2002,MI,boy,Jacob,1302
2002,MI,girl,Madison,900
2003,MI,girl,Emma,894
2003,MI,boy,Jacob,1195
2004,MI,girl,Emma,877
2004,MI,boy,Jacob,1166
2005,MI,girl,Emma,738
2005,MI,boy,Jacob,957
2006,MI,girl,Ava,762
2006,MI,boy,Jacob,862
2007,MI,girl,Ava,752
2007,MI,boy,Jacob,814
2008,MI,boy,Jacob,753
2008,MI,girl,Olivia,672
1960,MN,boy,David,1975
1960,MN,girl,Mary,1468
1961,MN,boy,David,1934
1961,MN,girl,Mary,1327
1962,MN,boy,David,1856
1962,MN,girl,Mary,1241
1963,MN,girl,Mary,1142
1963,MN,boy,Michael,1751
1964,MN,boy,David,1650
1964,MN,girl,Mary,1112
1965,MN,girl,Lisa,1209
1965,MN,boy,Michael,1652
1966,MN,girl,Lisa,1142
1966,MN,boy,Michael,1590
1967,MN,girl,Lisa,1112
1967,MN,boy,Michael,1600
1968,MN,girl,Lisa,1111
1968,MN,boy,Michael,1580
1969,MN,girl,Lisa,1034
1969,MN,boy,Michael,1624
1970,MN,girl,Jennifer,1153
1970,MN,boy,Michael,1568
1971,MN,girl,Jennifer,1282
1971,MN,boy,Michael,1344
1972,MN,boy,Jason,1269
1972,MN,girl,Jennifer,1488
1973,MN,boy,Jason,1319
1973,MN,girl,Jennifer,1373
1974,MN,boy,Jason,1272
1974,MN,girl,Jennifer,1386
1975,MN,boy,Jason,1241
1975,MN,girl,Jennifer,1323
1976,MN,girl,Jennifer,1272
1976,MN,boy,Michael,1143
1977,MN,girl,Jennifer,1310
1977,MN,boy,Michael,1198
1978,MN,girl,Jennifer,1248
1978,MN,boy,Michael,1274
1979,MN,girl,Jennifer,1239
1979,MN,boy,Michael,1204
1980,MN,girl,Jennifer,1146
1980,MN,boy,Michael,1349
1981,MN,girl,Jennifer,1158
1981,MN,boy,Michael,1374
1982,MN,girl,Jennifer,1121
1982,MN,boy,Matthew,1316
1983,MN,girl,Jennifer,1046
1983,MN,boy,Matthew,1261
1984,MN,girl,Jennifer,1051
